gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
ATXN7	0.595638170095227	0.0029471118622097	0.150173852519638	GSE243023	False
GULP1	1.35966576208344	0.0029758996877727	0.150173852519638	GSE243023	False
TMEM251	0.651671283826426	0.0029892622084617	0.150173852519638	GSE243023	False
SLITRK4	1.63014365054804	0.0029910653234921	0.150173852519638	GSE243023	False
FOLH1	1.10176933963528	0.0030052693268013	0.150173852519638	GSE243023	False
SECISBP2L	0.52063444581205	0.0030112423048477	0.150173852519638	GSE243023	False
BAIAP2L2	2.11109843262381	0.0030140623286447	0.150173852519638	GSE243023	False
TMEM41B	0.631480364673053	0.0030190206537514	0.150173852519638	GSE243023	False
TSC22D2	0.570983604216782	0.0030272956391813	0.150173852519638	GSE243023	False
ITPR2	0.488023776994251	0.0030299324305701	0.150173852519638	GSE243023	False
PDK2	-0.940986530675006	0.0030428678515543	0.150254325918947	GSE243023	False
NR4A3	1.83032464444903	0.003057879995082	0.150436370276575	GSE243023	False
ADAMTS6	0.76763801554242	0.0030906951636935	0.150715392976227	GSE243023	False
CYFIP2	-0.663150735842129	0.0031083795792547	0.150715392976227	GSE243023	False
PLXNB3	-0.776392271945726	0.0031093115004268	0.150715392976227	GSE243023	False
SNED1	-0.754333133534687	0.003112122246399	0.150715392976227	GSE243023	False
PDIA4	-0.535166971934081	0.0031202840524326	0.150715392976227	GSE243023	False
PCIF1	-0.79901853715589	0.0031447094314584	0.150781628370841	GSE243023	False
CERCAM	-0.973792279778384	0.0031534094672583	0.150781628370841	GSE243023	False
ECE1	-0.621699454658058	0.0031843582165222	0.150781628370841	GSE243023	False
STYX	0.623790792066883	0.0031862514513825	0.150781628370841	GSE243023	False
UBR3	0.553869966187578	0.0031873442574067	0.150781628370841	GSE243023	False
GTSE1	-0.656191665099593	0.0031897641776862	0.150781628370841	GSE243023	False
XKR6	1.57066859383625	0.0032235470820959	0.151727686411009	GSE243023	False
ANKRD12	0.546072140155943	0.0032354741523939	0.151727686411009	GSE243023	False
CD40	-0.749073008269956	0.0032518009264422	0.151727686411009	GSE243023	False
PRKCSH	-0.905182322168452	0.0032554686913451	0.151727686411009	GSE243023	False
MPV17	-0.54428107863876	0.0033063651998909	0.15222187766566	GSE243023	False
CDC45	-0.627519765205169	0.0033303627788742	0.15222187766566	GSE243023	False
EOGT	0.481236310108213	0.0033337419812734	0.15222187766566	GSE243023	False
ARL5A	0.658156683393123	0.0033571998160641	0.15222187766566	GSE243023	False
MB21D2	0.66608311383351	0.0033593831460735	0.15222187766566	GSE243023	False
WDR91	-0.656903529539474	0.0033647820116684	0.15222187766566	GSE243023	False
NOL12	-0.782719323284517	0.0033651932526367	0.15222187766566	GSE243023	False
C17orf107	1.37127408116159	0.003366351548433	0.15222187766566	GSE243023	False
ZNF337	-0.570559691976327	0.0033692111747123	0.15222187766566	GSE243023	False
NES	-0.508371221681903	0.0033856455418239	0.152445863498466	GSE243023	False
TK2	-0.483442373942244	0.0034416421783662	0.15392275683012	GSE243023	False
MKS1	-0.60665221983527	0.0034579400405479	0.15392275683012	GSE243023	False
LXN	-0.67106919763347	0.0034696434599772	0.15392275683012	GSE243023	False
CD2AP	0.7405181414209	0.003474418326671	0.15392275683012	GSE243023	False
FAM114A1	0.419177138081364	0.0034989800589586	0.15392275683012	GSE243023	False
CAMK1D	0.700272640800351	0.0035026941895073	0.15392275683012	GSE243023	False
CUEDC1	-0.762655548127242	0.0035223943610296	0.15392275683012	GSE243023	False
TBC1D32	1.27177871487892	0.0035298829897836	0.15392275683012	GSE243023	False
EDIL3	1.05482566886295	0.0035320087059198	0.15392275683012	GSE243023	False
ARAP1	-0.762616049585059	0.0035354921478963	0.15392275683012	GSE243023	False
SLC2A13	1.3150980352456	0.0035537499248429	0.15392275683012	GSE243023	False
MEF2A	0.611674039809016	0.0035575010424487	0.15392275683012	GSE243023	False
MCM7	-0.542478089633707	0.0035706757646701	0.153991188902965	GSE243023	False
ERBB2	-0.795960674650379	0.0035836001096238	0.154048415068395	GSE243023	False
SIGMAR1	-0.80332134586218	0.0035982170364195	0.154089431936631	GSE243023	False
DGKA	-0.591382390365124	0.0036077552760891	0.154089431936631	GSE243023	False
AOPEP	0.690403747970743	0.0036264260665901	0.154390440520889	GSE243023	False
ASCC2	-0.734874424334434	0.0036511243635708	0.154454136628399	GSE243023	False
N4BP2	0.786236166135321	0.0036654324856366	0.154454136628399	GSE243023	False
UBA1	-0.564845112479897	0.0036665204120294	0.154454136628399	GSE243023	False
FBXO10	-0.565197255502943	0.0036744340265432	0.154454136628399	GSE243023	False
SPTB	-2.18082135298799	0.0036908790085428	0.154654919581217	GSE243023	False
U2AF1L5	-0.572564524674542	0.0037024967572707	0.154654919581217	GSE243023	False
RFX7	0.671721518899813	0.0037387175974043	0.154845997289453	GSE243023	False
ZNF69	0.781980126079737	0.0037520273633672	0.154845997289453	GSE243023	False
SGMS1	0.789673084956017	0.0037685551328034	0.154845997289453	GSE243023	False
PRMT1	-0.813697405650837	0.0037794606253447	0.154845997289453	GSE243023	False
GNA14	1.43618136765694	0.003806099832181	0.154845997289453	GSE243023	False
C19orf12	0.50405883637369	0.003843127423003	0.154845997289453	GSE243023	False
